id,titolo_breve,production_id,dcTitle,from,to,datetext,luogo_nome,luogo_id,edificio_nome,edificio_id,composizione_nome,composizione_id,fullpath
58563,Cullberg Ballet,,Cullberg Ballet,1982-05-09,1982-05-09,09/05/1982,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/09-05-1982 Cullberg Ballet (58563)
58564,Balletto del Teatro Nazionale dell'Opera di Praga,,Balletto del Teatro Nazionale dell'Opera di Praga,1982-07-03,1982-07-03,03/07/1982,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/03-07-1982 Balletto del Teatro Nazionale dell'Opera di Praga (58564)
58565,Balletto del Teatro Nazionale dell'Opera di Praga,,Balletto del Teatro Nazionale dell'Opera di Praga,1982-07-04,1982-07-04,04/07/1982,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/04-07-1982 Balletto del Teatro Nazionale dell'Opera di Praga (58565)
58566,Ballet Nuevo Mundo de Caracas,,Ballet Nuevo Mundo de Caracas,1982-07-06,1982-07-06,06/07/1982,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/06-07-1982 Ballet Nuevo Mundo de Caracas (58566)
58567,Il visitatore,,Il visitatore,1997-03-01,1997-03-01,01/03/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/01-03-1997 Il visitatore (58567)
58568,Il visitatore,,Il visitatore,1997-03-02,1997-03-02,02/03/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/02-03-1997 Il visitatore (58568)
58569,La locandiera,,La locandiera,1997-03-08,1997-03-08,08/03/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/08-03-1997 La locandiera (58569)
58570,La locandiera,,La locandiera,1997-03-09,1997-03-09,09/03/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/09-03-1997 La locandiera (58570)
58571,La locandiera,,La locandiera,1997-03-09,1997-03-09,09/03/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/09-03-1997 La locandiera (58571)
58572,La locandiera,,La locandiera,1997-03-10,1997-03-10,10/03/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/10-03-1997 La locandiera (58572)
58573,Il giuoco delle parti,,Il giuoco delle parti,1997-04-03,1997-04-03,03/04/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/03-04-1997 Il giuoco delle parti (58573)
58574,Il giuoco delle parti,,Il giuoco delle parti,1997-04-04,1997-04-04,04/04/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/04-04-1997 Il giuoco delle parti (58574)
58575,Il giuoco delle parti,,Il giuoco delle parti,1997-04-05,1997-04-05,05/04/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/05-04-1997 Il giuoco delle parti (58575)
58576,Il giuoco delle parti,,Il giuoco delle parti,1997-04-06,1997-04-06,06/04/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/06-04-1997 Il giuoco delle parti (58576)
58577,Il giuoco delle parti,,Il giuoco delle parti,1997-04-06,1997-04-06,06/04/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/06-04-1997 Il giuoco delle parti (58577)
58578,Ziuz Zigotez,,Ziuz Zigotez,1997-04-18,1997-04-18,18/04/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/18-04-1997 Ziuz Zigotez (58578)
58579,Ziuz Zigotez,,Ziuz Zigotez,1997-04-19,1997-04-19,19/04/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/19-04-1997 Ziuz Zigotez (58579)
58580,Evita,,Evita,1997-04-23,1997-04-23,23/04/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,1976 Evita,70683,/Recite/23-04-1997 Evita (58580)
58581,Evita,,Evita,1997-04-24,1997-04-24,24/04/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,1976 Evita,70683,/Recite/24-04-1997 Evita (58581)
58582,Evita,,Evita,1997-04-25,1997-04-25,25/04/1997,Reggio Emilia,187,Teatro Municipale Valli,8715,1976 Evita,70683,/Recite/25-04-1997 Evita (58582)
58583,Oh les beaux jours,,Oh les beaux jours,1996-12-07,1996-12-07,07/12/1996,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/07-12-1996 Oh les beaux jours (58583)
58584,Oh les beaux jours,,Oh les beaux jours,1996-12-08,1996-12-08,08/12/1996,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/08-12-1996 Oh les beaux jours (58584)
58585,Oh les beaux jours,,Oh les beaux jours,1996-12-09,1996-12-09,09/12/1996,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/09-12-1996 Oh les beaux jours (58585)
58586,Sintesi e simultaneità,,Sintesi e simultaneità,1996-11-06,1996-11-06,06/11/1996,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/06-11-1996 Sintesi e simultaneità (58586)
58587,La guerra vista dalla luna,,La guerra vista dalla luna,1996-12-14,1996-12-14,14/12/1996,Reggio Emilia,187,Teatro Ariosto,9415,La guerra vista dalla luna,70687,/Recite/14-12-1996 La guerra vista dalla luna (58587)
58588,Canti di scena '96,,Canti di scena '96,1997-01-30,1997-01-30,30/01/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/30-01-1997 Canti di scena '96 (58588)
58589,Rap,,Rap,1997-02-18,1997-02-18,18/02/1997,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/18-02-1997 Rap (58589)
58590,L'opera dei centosedici,,L'opera dei centosedici,1997-03-14,1997-03-14,14/03/1997,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/14-03-1997 L'opera dei centosedici (58590)
58591,"13-06-2002 Compagnia Artemis Danza Monica Casadei.
Corpo d'opera",,"Compagnia Artemis Danza Monica Casadei.
Corpo d'opera",2002-06-13,2002-06-13,13/06/2002,Parma,173,Teatro Due,8686,,,"/Recite/13-06-2002 Compagnia Artemis Danza Monica Casadei.
Corpo d'opera (58591)"
58592,"16-06-2002 Compagnia Artemis Danza Monica Casadei.
Corpo d'opera",,"Compagnia Artemis Danza Monica Casadei.
Corpo d'opera",2002-06-16,2002-06-16,16/06/2002,Parma,173,Teatro Due,8686,,,"/Recite/16-06-2002 Compagnia Artemis Danza Monica Casadei.
Corpo d'opera (58592)"
58593,"14-06-2002 Aterballetto.
Serata Stravinskij",,"Aterballetto.
Serata Stravinskij",2002-06-14,2002-06-14,14/06/2002,Reggio Emilia,187,Teatro Municipale Valli,8715,,,"/Recite/14-06-2002 Aterballetto.
Serata Stravinskij (58593)"
58594,"15-06-2002 Aterballetto.
Serata Stravinskij",,"Aterballetto.
Serata Stravinskij",2002-06-15,2002-06-15,15/06/2002,Reggio Emilia,187,Teatro Municipale Valli,8715,,,"/Recite/15-06-2002 Aterballetto.
Serata Stravinskij (58594)"
58595,"15-06-2002 Compagnia Abbondanza-Bertoni.
Alcesti",,"Compagnia Abbondanza-Bertoni.
Alcesti",2002-06-15,2002-06-15,15/06/2002,Reggio Emilia,187,Teatro Ariosto,9415,,,"/Recite/15-06-2002 Compagnia Abbondanza-Bertoni.
Alcesti (58595)"
58596,"15-06-2002 Compagnia Zappalà Danza
OB-SOL.um",,"Compagnia Zappalà Danza
OB/SOL.um",2002-06-15,2002-06-15,15/06/2002,Reggio Emilia,187,Teatro Cavallerizza,8653,,,"/Recite/15-06-2002 Compagnia Zappalà Danza
OB-SOL.um (58596)"
58597,"16-06-2002 Compagnia Zappalà Danza
OB-SOL.um",,"Compagnia Zappalà Danza
OB/SOL.um",2002-06-16,2002-06-16,16/06/2002,Reggio Emilia,187,Teatro Cavallerizza,8653,,,"/Recite/16-06-2002 Compagnia Zappalà Danza
OB-SOL.um (58597)"
58598,"18-06-2002 MMCompany.
Mattanza",,"MMCompany.
Mattanza",2002-06-18,2002-06-18,18/06/2002,Reggio Emilia,187,Teatro Cavallerizza,8653,,,"/Recite/18-06-2002 MMCompany.
Mattanza (58598)"
58599,"21-06-2002 Associazione Sosta Palmizi.
Senza titolo",,"Associazione Sosta Palmizi.
Senza titolo",2002-06-21,2002-06-21,21/06/2002,Reggio Emilia,187,Teatro Ariosto,9415,,,"/Recite/21-06-2002 Associazione Sosta Palmizi.
Senza titolo (58599)"
58600,Aterballetto: Serata giovani coreografi,,Aterballetto: Serata giovani coreografi,2001-05-29,2001-05-29,29/05/2001,Reggio Emilia,187,Teatro Cavallerizza,8653,2001 Incrocio,70688,/Recite/29-05-2001 Aterballetto: Serata giovani coreografi (58600)
58601,"31-05-2001 Aterballetto.
Figli d'Adamo",,"Aterballetto.
Figli d'Adamo",2001-05-31,2001-05-31,31/05/2001,Reggio Emilia,187,Teatro Cavallerizza,8653,,,"/Recite/31-05-2001 Aterballetto.
Figli d'Adamo (58601)"
58602,Frammenti di un discorso amoroso,,Frammenti di un discorso amoroso,2001-06-01,2001-06-01,01/06/2001,Rubiera,1915,La Corte Ospitale,9283,,,/Recite/01-06-2001 Frammenti di un discorso amoroso (58602)
58603,Frammenti di un discorso amoroso,,Frammenti di un discorso amoroso,2001-06-02,2001-06-02,02/06/2001,Rubiera,1915,La Corte Ospitale,9283,,,/Recite/02-06-2001 Frammenti di un discorso amoroso (58603)
58604,Frammenti di un discorso amoroso,,Frammenti di un discorso amoroso,2001-06-04,2001-06-04,04/06/2001,Rubiera,1915,La Corte Ospitale,9283,,,/Recite/04-06-2001 Frammenti di un discorso amoroso (58604)
58605,Frammenti di un discorso amoroso,,Frammenti di un discorso amoroso,2001-06-05,2001-06-05,05/06/2001,Rubiera,1915,La Corte Ospitale,9283,,,/Recite/05-06-2001 Frammenti di un discorso amoroso (58605)
58606,Frammenti di un discorso amoroso,,Frammenti di un discorso amoroso,2001-06-06,2001-06-06,06/06/2001,Rubiera,1915,La Corte Ospitale,9283,,,/Recite/06-06-2001 Frammenti di un discorso amoroso (58606)
58607,Frammenti di un discorso amoroso,,Frammenti di un discorso amoroso,2001-06-07,2001-06-07,07/06/2001,Rubiera,1915,La Corte Ospitale,9283,,,/Recite/07-06-2001 Frammenti di un discorso amoroso (58607)
58608,Frammenti di un discorso amoroso,,Frammenti di un discorso amoroso,2001-06-08,2001-06-08,08/06/2001,Rubiera,1915,La Corte Ospitale,9283,,,/Recite/08-06-2001 Frammenti di un discorso amoroso (58608)
58609,"03-06-2001 Kaidara Dance Company.
Rubedo",,"Kaidara Dance Company.
Rubedo",2001-06-03,2001-06-03,03/06/2001,Reggio Emilia,187,Teatro Cavallerizza,8653,,,"/Recite/03-06-2001 Kaidara Dance Company.
Rubedo (58609)"
58610,Compagnia Artemis,,Compagnia Artemis,2001-06-05,2001-06-05,05/06/2001,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/05-06-2001 Compagnia Artemis (58610)
58611,Acidente de automovel Cor de Laranja 10 vezes,,Acidente de automovel Cor de Laranja 10 vezes,1999-06-19,1999-06-19,19/06/1999,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/19-06-1999 Acidente de automovel Cor de Laranja 10 vezes (58611)
58612,Casio tone,,Casio tone,1999-06-20,1999-06-20,20/06/1999,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/20-06-1999 Casio tone (58612)
58613,Paula Massano - Compagnia Re.Al,,Paula Massano / Compagnia Re.Al,1999-06-22,1999-06-22,22/06/1999,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/22-06-1999 Paula Massano - Compagnia Re.Al (58613)
58614,"24-06-1999 Compañia Clara Andermatt.
Uma história da dúvida",,"Compañia Clara Andermatt.
Uma história da dúvida",1999-06-24,1999-06-24,24/06/1999,Reggio Emilia,187,Teatro Cavallerizza,8653,,,"/Recite/24-06-1999 Compañia Clara Andermatt.
Uma história da dúvida (58614)"
58615,More,,More,1999-06-26,1999-06-26,26/06/1999,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/26-06-1999 More (58615)
58616,"Una mystérieuse chose, a dit E.E. Cummings*",,"Una mystérieuse chose, a dit E.E. Cummings*",1999-06-27,1999-06-27,27/06/1999,Reggio Emilia,187,Teatro Cavallerizza,8653,,,"/Recite/27-06-1999 Una mystérieuse chose, a dit E.E. Cummings* (58616)"
58617,Aterballetto,,Aterballetto,1999-05-21,1999-05-21,21/05/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/21-05-1999 Aterballetto (58617)
58618,Artemis Danza-Monica Casadei,,Artemis Danza/Monica Casadei,1999-05-21,1999-05-21,21/05/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/21-05-1999 Artemis Danza-Monica Casadei (58618)
58619,Elleboro,,Elleboro,1999-05-22,1999-05-22,22/05/1999,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/22-05-1999 Elleboro (58619)
58620,Company Blu Danza,,Company Blu Danza,1999-05-22,1999-05-22,22/05/1999,Reggio Emilia,187,Teatro Cavallerizza,8653,,,/Recite/22-05-1999 Company Blu Danza (58620)
58621,Compagnia Michele Pogliani,,Compagnia Michele Pogliani,1999-05-22,1999-05-22,22/05/1999,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/22-05-1999 Compagnia Michele Pogliani (58621)
58622,Ballet del Teatro Lírico Nacional,,Ballet del Teatro Lírico Nacional,1988-09-17,1988-09-17,17/09/1988,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/17-09-1988 Ballet del Teatro Lírico Nacional (58622)
58623,Antonia Andreu - Vicente Sáez,,Antonia Andreu / Vicente Sáez,1988-09-17,1988-09-17,17/09/1988,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/17-09-1988 Antonia Andreu - Vicente Sáez (58623)
58624,"18-09-1988 Una noche de encuentros.
Gala",,"Una noche de encuentros.
Gala",1988-09-18,1988-09-18,18/09/1988,Reggio Emilia,187,Teatro Municipale Valli,8715,Zapateado,70689,"/Recite/18-09-1988 Una noche de encuentros.
Gala (58624)"
58625,Bocanada Danza,,Bocanada Danza,1988-09-19,1988-09-19,19/09/1988,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/19-09-1988 Bocanada Danza (58625)
58626,Mudances,,Mudances,1988-09-20,1988-09-20,20/09/1988,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/20-09-1988 Mudances (58626)
58627,Vianants Danza,,Vianants Danza,1988-09-20,1988-09-20,20/09/1988,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/20-09-1988 Vianants Danza (58627)
58628,Ballet de Victor Ullate,,Ballet de Victor Ullate,1988-09-22,1988-09-22,22/09/1988,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/22-09-1988 Ballet de Victor Ullate (58628)
58629,Cesc Gelabert y Lydia Azzopardi,,Cesc Gelabert y Lydia Azzopardi,1988-09-23,1988-09-23,23/09/1988,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/23-09-1988 Cesc Gelabert y Lydia Azzopardi (58629)
58630,La Herencia Dux,,La Herencia Dux,1988-09-24,1988-09-24,24/09/1988,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/24-09-1988 La Herencia Dux (58630)
58631,Carmen Senra Compañía de Danza,,Carmen Senra Compañía de Danza,1988-09-25,1988-09-25,25/09/1988,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/25-09-1988 Carmen Senra Compañía de Danza (58631)
58632,Ballet Nacional de España,,Ballet Nacional de España,1988-09-27,1988-09-27,27/09/1988,Reggio Emilia,187,Teatro Municipale Valli,8715,,,/Recite/27-09-1988 Ballet Nacional de España (58632)
58633,In treno all'opera: Attila,,In treno all'opera: Attila,1999-04-24,1999-04-24,24/04/1999,Bologna,119,Teatro Comunale,8654,1846 Attila,69447,/Recite/24-04-1999 In treno all'opera: Attila (58633)
58634,Miele selvatico,,Miele selvatico,1985-10-23,1985-10-23,23/10/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/23-10-1985 Miele selvatico (58634)
58635,Miele selvatico,,Miele selvatico,1985-10-24,1985-10-24,24/10/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/24-10-1985 Miele selvatico (58635)
58636,Miele selvatico,,Miele selvatico,1985-10-25,1985-10-25,25/10/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/25-10-1985 Miele selvatico (58636)
58637,Miele selvatico,,Miele selvatico,1985-10-26,1985-10-26,26/10/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/26-10-1985 Miele selvatico (58637)
58638,Miele selvatico,,Miele selvatico,1985-10-27,1985-10-27,27/10/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/27-10-1985 Miele selvatico (58638)
58639,Qualcuno volò sul nido del cuculo,,Qualcuno volò sul nido del cuculo,1985-11-06,1985-11-06,06/11/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/06-11-1985 Qualcuno volò sul nido del cuculo (58639)
58640,Qualcuno volò sul nido del cuculo,,Qualcuno volò sul nido del cuculo,1985-11-07,1985-11-07,07/11/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/07-11-1985 Qualcuno volò sul nido del cuculo (58640)
58641,Qualcuno volò sul nido del cuculo,,Qualcuno volò sul nido del cuculo,1985-11-08,1985-11-08,08/11/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/08-11-1985 Qualcuno volò sul nido del cuculo (58641)
58642,Qualcuno volò sul nido del cuculo,,Qualcuno volò sul nido del cuculo,1985-11-09,1985-11-09,09/11/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/09-11-1985 Qualcuno volò sul nido del cuculo (58642)
58643,Qualcuno volò sul nido del cuculo,,Qualcuno volò sul nido del cuculo,1985-11-10,1985-11-10,10/11/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/10-11-1985 Qualcuno volò sul nido del cuculo (58643)
58644,Il diavolo e il buon Dio,,Il diavolo e il buon Dio,1985-11-29,1985-11-29,29/11/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/29-11-1985 Il diavolo e il buon Dio (58644)
58645,Il diavolo e il buon Dio,,Il diavolo e il buon Dio,1985-11-30,1985-11-30,30/11/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/30-11-1985 Il diavolo e il buon Dio (58645)
58646,Il diavolo e il buon Dio,,Il diavolo e il buon Dio,1985-12-01,1985-12-01,01/12/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/01-12-1985 Il diavolo e il buon Dio (58646)
58647,Il diavolo e il buon Dio,,Il diavolo e il buon Dio,1985-12-01,1985-12-01,01/12/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/01-12-1985 Il diavolo e il buon Dio (58647)
58648,Il diavolo e il buon Dio,,Il diavolo e il buon Dio,1985-12-02,1985-12-02,02/12/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/02-12-1985 Il diavolo e il buon Dio (58648)
58649,Vestire gli ignudi,,Vestire gli ignudi,1985-12-04,1985-12-04,04/12/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/04-12-1985 Vestire gli ignudi (58649)
58650,Vestire gli ignudi,,Vestire gli ignudi,1985-12-05,1985-12-05,05/12/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/05-12-1985 Vestire gli ignudi (58650)
58651,Vestire gli ignudi,,Vestire gli ignudi,1985-12-06,1985-12-06,06/12/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/06-12-1985 Vestire gli ignudi (58651)
58652,Vestire gli ignudi,,Vestire gli ignudi,1985-12-07,1985-12-07,07/12/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/07-12-1985 Vestire gli ignudi (58652)
58653,Vestire gli ignudi,,Vestire gli ignudi,1985-12-08,1985-12-08,08/12/1985,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/08-12-1985 Vestire gli ignudi (58653)
58654,Romantic comedy,,Romantic comedy,1986-01-07,1986-01-07,07/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/07-01-1986 Romantic comedy (58654)
58655,Romantic comedy,,Romantic comedy,1986-01-08,1986-01-08,08/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/08-01-1986 Romantic comedy (58655)
58656,Romantic comedy,,Romantic comedy,1986-01-09,1986-01-09,09/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/09-01-1986 Romantic comedy (58656)
58657,Romantic comedy,,Romantic comedy,1986-01-10,1986-01-10,10/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/10-01-1986 Romantic comedy (58657)
58658,Romantic comedy,,Romantic comedy,1986-01-11,1986-01-11,11/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/11-01-1986 Romantic comedy (58658)
58659,Romantic comedy,,Romantic comedy,1986-01-12,1986-01-12,12/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/12-01-1986 Romantic comedy (58659)
58660,Una burla riuscita,,Una burla riuscita,1986-01-15,1986-01-15,15/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/15-01-1986 Una burla riuscita (58660)
58661,Una burla riuscita,,Una burla riuscita,1986-01-16,1986-01-16,16/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/16-01-1986 Una burla riuscita (58661)
58662,Una burla riuscita,,Una burla riuscita,1986-01-17,1986-01-17,17/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/17-01-1986 Una burla riuscita (58662)
58663,Una burla riuscita,,Una burla riuscita,1986-01-18,1986-01-18,18/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/18-01-1986 Una burla riuscita (58663)
58664,Una burla riuscita,,Una burla riuscita,1986-01-19,1986-01-19,19/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/19-01-1986 Una burla riuscita (58664)
58665,Mercadet il faccendiere,,Mercadet il faccendiere,1986-01-29,1986-01-29,29/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/29-01-1986 Mercadet il faccendiere (58665)
58666,Mercadet il faccendiere,,Mercadet il faccendiere,1986-01-30,1986-01-30,30/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/30-01-1986 Mercadet il faccendiere (58666)
58667,Mercadet il faccendiere,,Mercadet il faccendiere,1986-01-31,1986-01-31,31/01/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/31-01-1986 Mercadet il faccendiere (58667)
58668,Mercadet il faccendiere,,Mercadet il faccendiere,1986-02-01,1986-02-01,01/02/1986,Reggio Emilia,187,Teatro Ariosto,9415,,,/Recite/01-02-1986 Mercadet il faccendiere (58668)
58669,Mercadet il faccendiere,,Mercadet il faccendiere,1986-02-02,1986-02-02,02/02/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/02-02-1986 Mercadet il faccendiere (58669)
58670,Mi presero gli occhi,,Mi presero gli occhi,1986-02-05,1986-02-05,05/02/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/05-02-1986 Mi presero gli occhi (58670)
58671,Mi presero gli occhi,,Mi presero gli occhi,1986-02-06,1986-02-06,06/02/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/06-02-1986 Mi presero gli occhi (58671)
58672,Mi presero gli occhi,,Mi presero gli occhi,1986-02-07,1986-02-07,07/02/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/07-02-1986 Mi presero gli occhi (58672)
58673,Mi presero gli occhi,,Mi presero gli occhi,1986-02-08,1986-02-08,08/02/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/08-02-1986 Mi presero gli occhi (58673)
58674,Mi presero gli occhi,,Mi presero gli occhi,1986-02-09,1986-02-09,09/02/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/09-02-1986 Mi presero gli occhi (58674)
58675,Cinecittà,,Cinecittà,1986-02-12,1986-02-12,12/02/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/12-02-1986 Cinecittà (58675)
58676,Cinecittà,,Cinecittà,1986-02-13,1986-02-13,13/02/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/13-02-1986 Cinecittà (58676)
58677,Cinecittà,,Cinecittà,1986-02-14,1986-02-14,14/02/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/14-02-1986 Cinecittà (58677)
58678,Cinecittà,,Cinecittà,1986-02-15,1986-02-15,15/02/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/15-02-1986 Cinecittà (58678)
58679,Cinecittà,,Cinecittà,1986-02-16,1986-02-16,16/02/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/16-02-1986 Cinecittà (58679)
58680,Eroe di scena fantasma d'amore (Moissi),,Eroe di scena fantasma d'amore (Moissi),1986-03-05,1986-03-05,05/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/05-03-1986 Eroe di scena fantasma d'amore (Moissi) (58680)
58681,Eroe di scena fantasma d'amore (Moissi),,Eroe di scena fantasma d'amore (Moissi),1986-03-06,1986-03-06,06/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/06-03-1986 Eroe di scena fantasma d'amore (Moissi) (58681)
58682,Eroe di scena fantasma d'amore (Moissi),,Eroe di scena fantasma d'amore (Moissi),1986-03-07,1986-03-07,07/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/07-03-1986 Eroe di scena fantasma d'amore (Moissi) (58682)
58683,Eroe di scena fantasma d'amore (Moissi),,Eroe di scena fantasma d'amore (Moissi),1986-03-08,1986-03-08,08/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/08-03-1986 Eroe di scena fantasma d'amore (Moissi) (58683)
58684,Eroe di scena fantasma d'amore (Moissi),,Eroe di scena fantasma d'amore (Moissi),1986-03-09,1986-03-09,09/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/09-03-1986 Eroe di scena fantasma d'amore (Moissi) (58684)
58685,Victor (o i bambini al potere),,Victor (o i bambini al potere),1986-03-12,1986-03-12,12/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/12-03-1986 Victor (o i bambini al potere) (58685)
58686,Victor (o i bambini al potere),,Victor (o i bambini al potere),1986-03-13,1986-03-13,13/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/13-03-1986 Victor (o i bambini al potere) (58686)
58687,Victor (o i bambini al potere),,Victor (o i bambini al potere),1986-03-14,1986-03-14,14/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/14-03-1986 Victor (o i bambini al potere) (58687)
58688,Victor (o i bambini al potere),,Victor (o i bambini al potere),1986-03-15,1986-03-15,15/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/15-03-1986 Victor (o i bambini al potere) (58688)
58689,Victor (o i bambini al potere),,Victor (o i bambini al potere),1986-03-16,1986-03-16,16/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/16-03-1986 Victor (o i bambini al potere) (58689)
58690,Baal,,Baal,1986-03-24,1986-03-24,24/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/24-03-1986 Baal (58690)
58691,Baal,,Baal,1986-03-25,1986-03-25,25/03/1986,Reggio Emilia,1911,Teatro Ariosto,9415,,,/Recite/25-03-1986 Baal (58691)
